account_id,rf_prob,true_label,sage_prob,ensemble_prob,ensemble_pred,risk_tier
25536_802EE9000,0.08463713286187492,0,0.119639695,0.1056386714492887,0,LOW
15010_8021BF9C0,0.12655381757402231,0,0.119639516,0.1224052410260193,0,LOW
19474_80E50C8F0,0.08765461638820787,0,0.10574602,0.09850946354966411,0,LOW
48211_811DC5FC0,0.8286260786338656,0,0.82412696,0.8259266306036317,1,CRITICAL
10614_8124D4010,0.10592079193274861,0,0.10574602,0.1058159337674804,0,LOW
33727_80C78A190,0.8286260786338656,1,0.82412696,0.8259266306036317,1,CRITICAL
1601_800BA8190,0.6296768813449447,0,0.6446458,0.6386582564957264,1,HIGH
28779_80A9A18D0,0.07701840515746121,0,0.10802693,0.0956235240531502,0,LOW
16787_806BEE8A0,0.07584988773644341,0,0.10776203,0.0949971738488689,0,LOW
12_80022A3F0,0.05423649033113306,0,0.10574602,0.08514221312683418,0,LOW
240018_80F0643B0,0.11245750253378416,0,0.10780929,0.10966857667755708,0,LOW
128684_80E0340A0,0.0805519353873112,0,0.10574602,0.09566839114930543,0,LOW
137897_812F1CBA0,0.06963514984364086,0,0.11963969,0.09963787824199508,0,LOW
22806_8018AE300,0.059544683270524,0,0.11963969,0.09560169161274833,0,LOW
220_800482120,0.8286260786338656,0,0.82412696,0.8259266306036317,1,CRITICAL
11157_80E082B70,0.0930290784233634,0,0.10574602,0.1006592483637263,0,LOW
219449_80B646940,0.09619616088824827,0,0.119639695,0.11026228265983803,0,LOW
6_80A212D90,0.10465620962376686,0,0.10802696,0.10667866074083365,0,LOW
29056_80AF5AFD0,0.8286260786338656,1,0.82412696,0.8259266306036317,1,CRITICAL
142553_811C24D50,0.0810942036158914,0,0.10574602,0.09588529844073751,0,LOW
14663_801F2BFC0,0.09454303084137025,0,0.11963969,0.10960103064108684,0,LOW
126191_809ED0920,0.09602430586736657,0,0.107598074,0.10296857108561698,0,LOW
16224_81318BD80,0.11523735670730569,0,0.10574597,0.10954252987498084,0,LOW
122463_808415B30,0.06273689235373085,0,0.10786657,0.08981470213382937,0,LOW
125607_809A0A450,0.08862322581698942,0,0.107598074,0.10000813906546613,0,LOW
16535_80674E2C0,0.08756966795900246,0,0.10574602,0.09847548417798194,0,LOW
137218_80EDE3970,0.13234909426772826,0,0.10780934,0.11762524317345713,0,LOW
112733_805409060,0.999913985312956,1,0.98621285,0.9916933277372431,1,CRITICAL
2915_8006089E0,0.16075360957303653,0,0.9201645,0.6164001948973299,1,HIGH
217125_8065A56B0,0.07637499438886353,0,0.10776202,0.09520720905925635,0,LOW
40653_80FC7A3B0,0.08765461638820787,0,0.10780936,0.09974746692281017,0,LOW
115359_8146F6B10,0.27116245177980614,0,0.10574597,0.17191256790398102,0,LOW
25768_810477460,0.8286260786338656,0,0.82412696,0.8259266306036317,1,CRITICAL
3_802FED6A0,0.11343094753286964,0,0.10682983,0.10947028268202832,0,LOW
120627_80E0EEB80,0.05423649033113306,0,0.10574602,0.08514221312683418,0,LOW
221765_807E05D40,0.08526761623060483,0,0.10786659,0.09882700658574017,0,LOW
111121_8119B2D90,0.09276813833314343,0,0.119639695,0.1088910736377961,0,LOW
14804_807194D90,0.06117912218349736,0,0.10574597,0.08791923606545751,0,LOW
1501_8009B0A40,0.2932966881371177,0,0.11963911,0.18910214338209774,0,LOW
111425_807097AE0,0.1477432781689188,0,0.10574602,0.12254492826194847,0,LOW
29467_803DDF510,0.07726260494131254,0,0.107761554,0.09556197760875387,0,LOW
3051_801610790,0.1419003568288901,0,0.105745934,0.12020770757187282,0,LOW
15_80AF5B200,0.9961954704359102,1,0.98625886,0.9902335187369556,1,CRITICAL
10605_8145A6980,0.0805474602606826,0,0.107761554,0.09687591973650189,0,LOW
114674_806ACEB10,0.11002405581868784,0,0.10574602,0.10745723932185608,0,LOW
